origins,destinations,departure_times,travel_time,departure_dt,hour,date
"1500 E 92nd St, Brooklyn, NY 11236, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607947200,136,2020-12-14 07:00:00-05:00,7,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607947200,131,2020-12-14 07:00:00-05:00,7,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607947200,102,2020-12-14 07:00:00-05:00,7,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","25-10 30th Ave, Queens, NY 11102, USA",1607947200,98,2020-12-14 07:00:00-05:00,7,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","506 Lenox Ave, New York, NY 10037, USA",1607947200,84,2020-12-14 07:00:00-05:00,7,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607947200,113,2020-12-14 07:00:00-05:00,7,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607947200,107,2020-12-14 07:00:00-05:00,7,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607947200,93,2020-12-14 07:00:00-05:00,7,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","25-10 30th Ave, Queens, NY 11102, USA",1607947200,68,2020-12-14 07:00:00-05:00,7,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","506 Lenox Ave, New York, NY 10037, USA",1607947200,86,2020-12-14 07:00:00-05:00,7,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607947200,132,2020-12-14 07:00:00-05:00,7,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607947200,119,2020-12-14 07:00:00-05:00,7,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607947200,106,2020-12-14 07:00:00-05:00,7,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","25-10 30th Ave, Queens, NY 11102, USA",1607947200,81,2020-12-14 07:00:00-05:00,7,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","506 Lenox Ave, New York, NY 10037, USA",1607947200,102,2020-12-14 07:00:00-05:00,7,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607947200,65,2020-12-14 07:00:00-05:00,7,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607947200,42,2020-12-14 07:00:00-05:00,7,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607947200,9,2020-12-14 07:00:00-05:00,7,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","25-10 30th Ave, Queens, NY 11102, USA",1607947200,56,2020-12-14 07:00:00-05:00,7,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","506 Lenox Ave, New York, NY 10037, USA",1607947200,38,2020-12-14 07:00:00-05:00,7,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607947200,44,2020-12-14 07:00:00-05:00,7,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607947200,56,2020-12-14 07:00:00-05:00,7,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607947200,80,2020-12-14 07:00:00-05:00,7,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","25-10 30th Ave, Queens, NY 11102, USA",1607947200,77,2020-12-14 07:00:00-05:00,7,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","506 Lenox Ave, New York, NY 10037, USA",1607947200,58,2020-12-14 07:00:00-05:00,7,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607949000,122,2020-12-14 07:30:00-05:00,7,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607949000,122,2020-12-14 07:30:00-05:00,7,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607949000,101,2020-12-14 07:30:00-05:00,7,2020-12-14
