origins,destinations,durations,departure_times,distance
"1500 E 92nd St, Brooklyn, NY 11236, USA","234 E 149th St, The Bronx, NY 10451, USA",1 hour 40 mins,1611576000,19.8 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","462 1st Avenue, New York, NY 10016, USA",1 hour 16 mins,1611576000,15.3 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","525 E 68th St, New York, NY 10065, USA",1 hour 36 mins,1611576000,16.0 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1650 Grand Concourse, The Bronx, NY 10457, USA",1 hour 37 mins,1611576000,19.6 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1051 Riverside Dr, New York, NY 10032, USA",1 hour 39 mins,1611576000,19.6 mi
"108-35 167th St, Jamaica, NY 11433, USA","234 E 149th St, The Bronx, NY 10451, USA",1 hour 22 mins,1611576000,18.2 mi
"108-35 167th St, Jamaica, NY 11433, USA","462 1st Avenue, New York, NY 10016, USA",1 hour 18 mins,1611576000,13.5 mi
"108-35 167th St, Jamaica, NY 11433, USA","525 E 68th St, New York, NY 10065, USA",1 hour 13 mins,1611576000,13.5 mi
"108-35 167th St, Jamaica, NY 11433, USA","1650 Grand Concourse, The Bronx, NY 10457, USA",1 hour 35 mins,1611576000,20.5 mi
"108-35 167th St, Jamaica, NY 11433, USA","1051 Riverside Dr, New York, NY 10032, USA",1 hour 30 mins,1611576000,20.2 mi
"102-29 215th St, Jamaica, NY 11429, USA","234 E 149th St, The Bronx, NY 10451, USA",1 hour 36 mins,1611576000,18.8 mi
"102-29 215th St, Jamaica, NY 11429, USA","462 1st Avenue, New York, NY 10016, USA",1 hour 35 mins,1611576000,15.7 mi
"102-29 215th St, Jamaica, NY 11429, USA","525 E 68th St, New York, NY 10065, USA",1 hour 24 mins,1611576000,15.1 mi
"102-29 215th St, Jamaica, NY 11429, USA","1650 Grand Concourse, The Bronx, NY 10457, USA",1 hour 43 mins,1611576000,20.7 mi
"102-29 215th St, Jamaica, NY 11429, USA","1051 Riverside Dr, New York, NY 10032, USA",1 hour 44 mins,1611576000,21.3 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","234 E 149th St, The Bronx, NY 10451, USA",35 mins,1611576000,2.9 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","462 1st Avenue, New York, NY 10016, USA",54 mins,1611576000,10.3 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","525 E 68th St, New York, NY 10065, USA",55 mins,1611576000,7.7 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1650 Grand Concourse, The Bronx, NY 10457, USA",32 mins,1611576000,4.5 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1051 Riverside Dr, New York, NY 10032, USA",14 mins,1611576000,0.9 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","234 E 149th St, The Bronx, NY 10451, USA",51 mins,1611576000,6.8 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","462 1st Avenue, New York, NY 10016, USA",1 hour 19 mins,1611576000,12.6 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","525 E 68th St, New York, NY 10065, USA",1 hour 6 mins,1611576000,10.7 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1650 Grand Concourse, The Bronx, NY 10457, USA",1 hour 12 mins,1611576000,6.4 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1051 Riverside Dr, New York, NY 10032, USA",1 hour 23 mins,1611576000,11.9 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","234 E 149th St, The Bronx, NY 10451, USA",1 hour 31 mins,1611577800,17.8 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","462 1st Avenue, New York, NY 10016, USA",1 hour 18 mins,1611577800,15.3 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","525 E 68th St, New York, NY 10065, USA",1 hour 29 mins,1611577800,14.1 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1650 Grand Concourse, The Bronx, NY 10457, USA",1 hour 37 mins,1611577800,19.7 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1051 Riverside Dr, New York, NY 10032, USA",1 hour 36 mins,1611577800,19.7 mi
"108-35 167th St, Jamaica, NY 11433, USA","234 E 149th St, The Bronx, NY 10451, USA",1 hour 24 mins,1611577800,16.7 mi
"108-35 167th St, Jamaica, NY 11433, USA","462 1st Avenue, New York, NY 10016, USA",1 hour 21 mins,1611577800,13.5 mi
"108-35 167th St, Jamaica, NY 11433, USA","525 E 68th St, New York, NY 10065, USA",1 hour 13 mins,1611577800,13.5 mi
"108-35 167th St, Jamaica, NY 11433, USA","1650 Grand Concourse, The Bronx, NY 10457, USA",1 hour 31 mins,1611577800,20.5 mi
"108-35 167th St, Jamaica, NY 11433, USA","1051 Riverside Dr, New York, NY 10032, USA",1 hour 31 mins,1611577800,20.2 mi
"102-29 215th St, Jamaica, NY 11429, USA","234 E 149th St, The Bronx, NY 10451, USA",1 hour 29 mins,1611577800,18.8 mi
"102-29 215th St, Jamaica, NY 11429, USA","462 1st Avenue, New York, NY 10016, USA",1 hour 32 mins,1611577800,15.6 mi
"102-29 215th St, Jamaica, NY 11429, USA","525 E 68th St, New York, NY 10065, USA",1 hour 24 mins,1611577800,14.7 mi
"102-29 215th St, Jamaica, NY 11429, USA","1650 Grand Concourse, The Bronx, NY 10457, USA",1 hour 36 mins,1611577800,20.6 mi
"102-29 215th St, Jamaica, NY 11429, USA","1051 Riverside Dr, New York, NY 10032, USA",1 hour 41 mins,1611577800,22.3 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","234 E 149th St, The Bronx, NY 10451, USA",31 mins,1611577800,3.7 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","462 1st Avenue, New York, NY 10016, USA",55 mins,1611577800,8.7 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","525 E 68th St, New York, NY 10065, USA",58 mins,1611577800,7.7 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1650 Grand Concourse, The Bronx, NY 10457, USA",29 mins,1611577800,4.5 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1051 Riverside Dr, New York, NY 10032, USA",14 mins,1611577800,0.9 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","234 E 149th St, The Bronx, NY 10451, USA",53 mins,1611577800,6.8 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","462 1st Avenue, New York, NY 10016, USA",1 hour 26 mins,1611577800,12.8 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","525 E 68th St, New York, NY 10065, USA",1 hour 13 mins,1611577800,10.7 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1650 Grand Concourse, The Bronx, NY 10457, USA",1 hour 4 mins,1611577800,10.5 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1051 Riverside Dr, New York, NY 10032, USA",1 hour 32 mins,1611577800,8.8 mi
