origins,destinations,durations,departure_times,distance
"1500 E 92nd St, Brooklyn, NY 11236, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",54 mins,1611576000,8.4 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","9525 Church Ave, Brooklyn, NY 11212, USA",24 mins,1611576000,2.2 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",47 mins,1611576000,6.1 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",1 hour 42 mins,1611576000,13.4 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",1 hour 20 mins,1611576000,10.9 mi
"108-35 167th St, Jamaica, NY 11433, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",31 mins,1611576000,2.7 mi
"108-35 167th St, Jamaica, NY 11433, USA","9525 Church Ave, Brooklyn, NY 11212, USA",1 hour 12 mins,1611576000,10.2 mi
"108-35 167th St, Jamaica, NY 11433, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",1 hour 11 mins,1611576000,11.3 mi
"108-35 167th St, Jamaica, NY 11433, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",23 mins,1611576000,2.6 mi
"108-35 167th St, Jamaica, NY 11433, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",53 mins,1611576000,8.9 mi
"102-29 215th St, Jamaica, NY 11429, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",1 hour 1 min,1611576000,6.8 mi
"102-29 215th St, Jamaica, NY 11429, USA","9525 Church Ave, Brooklyn, NY 11212, USA",1 hour 29 mins,1611576000,12.4 mi
"102-29 215th St, Jamaica, NY 11429, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",1 hour 39 mins,1611576000,22.7 mi
"102-29 215th St, Jamaica, NY 11429, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",31 mins,1611576000,2.9 mi
"102-29 215th St, Jamaica, NY 11429, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",1 hour 9 mins,1611576000,11.1 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",1 hour 12 mins,1611576000,21.6 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","9525 Church Ave, Brooklyn, NY 11212, USA",1 hour 15 mins,1611576000,18.0 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",56 mins,1611576000,14.4 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",1 hour 40 mins,1611576000,22.3 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",48 mins,1611576000,11.5 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",1 hour 52 mins,1611576000,22.0 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","9525 Church Ave, Brooklyn, NY 11212, USA",1 hour 52 mins,1611576000,22.3 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",1 hour 31 mins,1611576000,19.4 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",1 hour 53 mins,1611576000,14.3 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",1 hour 15 mins,1611576000,13.6 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",55 mins,1611577800,8.4 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","9525 Church Ave, Brooklyn, NY 11212, USA",26 mins,1611577800,2.2 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",49 mins,1611577800,6.1 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",1 hour 39 mins,1611577800,13.5 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",1 hour 16 mins,1611577800,12.9 mi
"108-35 167th St, Jamaica, NY 11433, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",31 mins,1611577800,2.7 mi
"108-35 167th St, Jamaica, NY 11433, USA","9525 Church Ave, Brooklyn, NY 11212, USA",1 hour 12 mins,1611577800,10.2 mi
"108-35 167th St, Jamaica, NY 11433, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",1 hour 5 mins,1611577800,11.3 mi
"108-35 167th St, Jamaica, NY 11433, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",23 mins,1611577800,2.6 mi
"108-35 167th St, Jamaica, NY 11433, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",53 mins,1611577800,8.9 mi
"102-29 215th St, Jamaica, NY 11429, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",56 mins,1611577800,6.0 mi
"102-29 215th St, Jamaica, NY 11429, USA","9525 Church Ave, Brooklyn, NY 11212, USA",1 hour 29 mins,1611577800,12.4 mi
"102-29 215th St, Jamaica, NY 11429, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",1 hour 36 mins,1611577800,22.7 mi
"102-29 215th St, Jamaica, NY 11429, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",32 mins,1611577800,2.9 mi
"102-29 215th St, Jamaica, NY 11429, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",1 hour 4 mins,1611577800,11.0 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",1 hour 13 mins,1611577800,21.6 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","9525 Church Ave, Brooklyn, NY 11212, USA",1 hour 21 mins,1611577800,17.6 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",58 mins,1611577800,15.1 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",1 hour 43 mins,1611577800,22.3 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",48 mins,1611577800,11.5 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",2 hours 0 mins,1611577800,26.1 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","9525 Church Ave, Brooklyn, NY 11212, USA",1 hour 59 mins,1611577800,22.3 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",1 hour 37 mins,1611577800,19.4 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",2 hours 10 mins,1611577800,15.6 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",1 hour 18 mins,1611577800,13.6 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",59 mins,1611579600,8.4 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","9525 Church Ave, Brooklyn, NY 11212, USA",26 mins,1611579600,2.2 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",48 mins,1611579600,6.1 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",1 hour 37 mins,1611579600,13.4 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",1 hour 13 mins,1611579600,12.8 mi
"108-35 167th St, Jamaica, NY 11433, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",31 mins,1611579600,2.7 mi
