origins,destinations,durations,departure_times,distance
"1500 E 92nd St, Brooklyn, NY 11236, USA","Times Sq - 42 St, New York, NY 10018, USA",1 hour 15 mins,1611576000,13.2 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","Grand Central - 42 St, New York, NY 10017, USA",1 hour 16 mins,1611576000,14.1 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","34 St - Herald Sq Subway Station, New York, NY 10001, USA",1 hour 13 mins,1611576000,13.0 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","14 St - Union Sq, New York, NY 10003, USA",58 mins,1611576000,10.7 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","141 Fulton St, New York, NY 10038, USA",1 hour 6 mins,1611576000,10.7 mi
"108-35 167th St, Jamaica, NY 11433, USA","Times Sq - 42 St, New York, NY 10018, USA",1 hour 4 mins,1611576000,13.5 mi
"108-35 167th St, Jamaica, NY 11433, USA","Grand Central - 42 St, New York, NY 10017, USA",59 mins,1611576000,12.6 mi
"108-35 167th St, Jamaica, NY 11433, USA","34 St - Herald Sq Subway Station, New York, NY 10001, USA",1 hour 4 mins,1611576000,13.6 mi
"108-35 167th St, Jamaica, NY 11433, USA","14 St - Union Sq, New York, NY 10003, USA",1 hour 5 mins,1611576000,13.9 mi
"108-35 167th St, Jamaica, NY 11433, USA","141 Fulton St, New York, NY 10038, USA",1 hour 7 mins,1611576000,14.2 mi
"102-29 215th St, Jamaica, NY 11429, USA","Times Sq - 42 St, New York, NY 10018, USA",1 hour 17 mins,1611576000,15.6 mi
"102-29 215th St, Jamaica, NY 11429, USA","Grand Central - 42 St, New York, NY 10017, USA",1 hour 17 mins,1611576000,15.1 mi
"102-29 215th St, Jamaica, NY 11429, USA","34 St - Herald Sq Subway Station, New York, NY 10001, USA",1 hour 15 mins,1611576000,15.8 mi
"102-29 215th St, Jamaica, NY 11429, USA","14 St - Union Sq, New York, NY 10003, USA",1 hour 25 mins,1611576000,16.9 mi
"102-29 215th St, Jamaica, NY 11429, USA","141 Fulton St, New York, NY 10038, USA",1 hour 23 mins,1611576000,16.6 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","Times Sq - 42 St, New York, NY 10018, USA",28 mins,1611576000,6.9 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","Grand Central - 42 St, New York, NY 10017, USA",34 mins,1611576000,7.7 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","34 St - Herald Sq Subway Station, New York, NY 10001, USA",34 mins,1611576000,7.5 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","14 St - Union Sq, New York, NY 10003, USA",36 mins,1611576000,8.9 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","141 Fulton St, New York, NY 10038, USA",37 mins,1611576000,10.4 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","Times Sq - 42 St, New York, NY 10018, USA",1 hour 7 mins,1611576000,12.2 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","Grand Central - 42 St, New York, NY 10017, USA",1 hour 2 mins,1611576000,11.5 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","34 St - Herald Sq Subway Station, New York, NY 10001, USA",1 hour 12 mins,1611576000,11.4 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","14 St - Union Sq, New York, NY 10003, USA",1 hour 8 mins,1611576000,12.8 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","141 Fulton St, New York, NY 10038, USA",1 hour 16 mins,1611576000,14.9 mi
